name,year,month,total
Action,2007,2,628.52
Action,2007,3,1448.19
Action,2007,4,1819.33
Action,2007,5,55.80
Animation,2007,2,569.53
Animation,2007,3,1642.95
Animation,2007,4,1966.08
Animation,2007,5,66.75
Children,2007,2,437.83
Children,2007,3,1309.70
Children,2007,4,1545.92
Children,2007,5,15.94
Classics,2007,2,459.81
Classics,2007,3,1353.56
Classics,2007,4,1515.12
Classics,2007,5,24.89
Comedy,2007,2,553.83
Comedy,2007,3,1578.62
Comedy,2007,4,1844.13
Comedy,2007,5,25.90
Documentary,2007,2,497.67
Documentary,2007,3,1511.33
Documentary,2007,4,1732.69
Documentary,2007,5,7.96
Drama,2007,2,583.70
Drama,2007,3,1509.50
Drama,2007,4,1995.34
Drama,2007,5,29.92
Family,2007,2,485.69
Family,2007,3,1465.17
Family,2007,4,1849.39
Family,2007,5,29.90
Foreign,2007,2,545.67
Foreign,2007,3,1599.23
Foreign,2007,4,1764.68
Foreign,2007,5,24.89
Games,2007,2,562.74
Games,2007,3,1495.51
Games,2007,4,1824.05
Games,2007,5,39.88
Horror,2007,2,431.04
Horror,2007,3,1333.04
Horror,2007,4,1603.31
Horror,2007,5,33.88
Music,2007,2,448.86
Music,2007,3,1150.26
Music,2007,4,1447.49
Music,2007,5,24.91
New,2007,2,475.87
New,2007,3,1603.58
New,2007,4,1856.04
New,2007,5,30.89
Sci-Fi,2007,2,584.57
Sci-Fi,2007,3,1706.16
Sci-Fi,2007,4,2014.37
Sci-Fi,2007,5,30.91
Sports,2007,2,607.63
Sports,2007,3,1950.70
Sports,2007,4,2293.01
Sports,2007,5,40.85
Travel,2007,2,478.88
Travel,2007,3,1229.06
Travel,2007,4,1488.51
Travel,2007,5,30.91
